,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,observing,describing,accepting,acting,age,gender,age group
310,Often true (4),Very often or always true (5),Often true (4),Sometimes true (3),Rarely true (2),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Rarely true (2),Rarely true (2),Never or very rarely true (1),Often true (4),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Often true (4),Rarely true (2),Very often or always true (5),Very often or always true (5),Sometimes true (3),Rarely true (2),Rarely true (2),Very often or always true (5),Sometimes true (3),Often true (4),3.8,4.1,3.6,3.1,44,male,early middle age
311,Rarely true (2),Never or very rarely true (1),Rarely true (2),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Sometimes true (3),Never or very rarely true (1),Very often or always true (5),Rarely true (2),Rarely true (2),Never or very rarely true (1),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Often true (4),Never or very rarely true (1),Rarely true (2),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Often true (4),Sometimes true (3),2.9,1.9,1.3,2.7,25,male,early adulthood
312,Rarely true (2),Very often or always true (5),Often true (4),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Very often or always true (5),Often true (4),Very often or always true (5),Rarely true (2),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Often true (4),2.9,4.8,3.9,3.3,44,female,early middle age
313,Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Sometimes true (3),Sometimes true (3),Very often or always true (5),3.9,2.5,4.9,4.0,45,female,late middle age
314,Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Often true (4),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Often true (4),Never or very rarely true (1),Often true (4),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Very often or always true (5),Rarely true (2),Rarely true (2),Rarely true (2),Very often or always true (5),Never or very rarely true (1),Sometimes true (3),Very often or always true (5),Rarely true (2),Rarely true (2),Never or very rarely true (1),Often true (4),Very often or always true (5),Never or very rarely true (1),Often true (4),Very often or always true (5),Rarely true (2),Very often or always true (5),3.4,4.9,1.7,2.1,21,female,early adulthood
315,Never or very rarely true (1),Rarely true (2),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),1.9,2.1,3.0,2.5,35,male,early middle age
316,Often true (4),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Very often or always true (5),Often true (4),Never or very rarely true (1),Often true (4),Very often or always true (5),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Sometimes true (3),Rarely true (2),Very often or always true (5),Rarely true (2),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),3.9,3.9,2.3,3.5,24,male,early adulthood
317,Sometimes true (3),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Often true (4),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Rarely true (2),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),3.5,5.0,3.9,3.2,53,female,late middle age
318,Often true (4),Often true (4),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Very often or always true (5),Often true (4),Never or very rarely true (1),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Never or very rarely true (1),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Very often or always true (5),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Often true (4),3.9,4.5,2.9,2.8,60,male,late middle age
319,Often true (4),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Very often or always true (5),Rarely true (2),Rarely true (2),Often true (4),Very often or always true (5),Often true (4),Rarely true (2),Often true (4),Very often or always true (5),Sometimes true (3),Rarely true (2),Often true (4),Very often or always true (5),Rarely true (2),Rarely true (2),Often true (4),Very often or always true (5),Sometimes true (3),Rarely true (2),Very often or always true (5),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Very often or always true (5),Very often or always true (5),Sometimes true (3),Rarely true (2),Very often or always true (5),Sometimes true (3),Sometimes true (3),4.1,4.8,2.0,2.7,24,male,early adulthood
320,Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Often true (4),Often true (4),Sometimes true (3),Never or very rarely true (1),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),3.0,3.9,3.1,2.9,39,male,early middle age
321,Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Often true (4),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Sometimes true (3),Sometimes true (3),Rarely true (2),3.3,2.8,3.3,2.8,25,male,early adulthood
322,Often true (4),Very often or always true (5),Sometimes true (3),Rarely true (2),Often true (4),Very often or always true (5),Sometimes true (3),Rarely true (2),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Rarely true (2),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Very often or always true (5),Rarely true (2),Often true (4),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),4.5,4.6,3.3,2.9,53,female,late middle age
323,Rarely true (2),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),3.1,3.8,3.1,3.1,63,female,late middle age
324,Very often or always true (5),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Very often or always true (5),Sometimes true (3),Rarely true (2),Very often or always true (5),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Very often or always true (5),Very often or always true (5),Often true (4),Rarely true (2),Very often or always true (5),Rarely true (2),Rarely true (2),Sometimes true (3),Very often or always true (5),Very often or always true (5),Rarely true (2),Often true (4),Very often or always true (5),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),4.5,3.9,2.8,2.9,22,male,early adulthood
325,Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),2.9,3.8,2.7,2.7,34,female,early adulthood
326,Often true (4),Often true (4),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Very often or always true (5),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Very often or always true (5),Often true (4),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),3.6,4.1,2.3,2.2,39,male,early middle age
327,Very often or always true (5),Often true (4),Never or very rarely true (1),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Very often or always true (5),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),3.5,2.9,2.4,2.0,36,male,early middle age
328,Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Sometimes true (3),Rarely true (2),Rarely true (2),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Very often or always true (5),Rarely true (2),Sometimes true (3),Sometimes true (3),2.2,1.8,4.3,2.7,48,male,late middle age
329,Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Rarely true (2),Often true (4),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Often true (4),Sometimes true (3),Often true (4),Never or very rarely true (1),Often true (4),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Rarely true (2),Very often or always true (5),Sometimes true (3),Rarely true (2),3.1,4.1,1.8,3.1,16,male,adolescence
330,Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Never or very rarely true (1),Sometimes true (3),Often true (4),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Often true (4),3.9,4.0,2.1,2.6,35,male,early middle age
331,Often true (4),Often true (4),Never or very rarely true (1),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Never or very rarely true (1),Often true (4),Often true (4),Often true (4),Never or very rarely true (1),Often true (4),Often true (4),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Often true (4),Very often or always true (5),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Sometimes true (3),Often true (4),Never or very rarely true (1),Often true (4),Rarely true (2),Rarely true (2),Very often or always true (5),Often true (4),Rarely true (2),Often true (4),4.1,3.8,2.0,2.5,17,male,adolescence
332,Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Often true (4),Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Rarely true (2),Sometimes true (3),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),Never or very rarely true (1),Rarely true (2),Rarely true (2),Rarely true (2),Very often or always true (5),Rarely true (2),Often true (4),Often true (4),Very often or always true (5),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),3.3,2.2,3.2,3.8,28,female,early adulthood
333,Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Sometimes true (3),Never or very rarely true (1),Often true (4),Sometimes true (3),Very often or always true (5),Very often or always true (5),Often true (4),Never or very rarely true (1),,Never or very rarely true (1),Rarely true (2),Rarely true (2),Very often or always true (5),Very often or always true (5),Rarely true (2),Rarely true (2),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Often true (4),Sometimes true (3),3.7,3.9,2.1,2.7,73,male,late adulthood
334,Very often or always true (5),Very often or always true (5),Rarely true (2),Often true (4),Rarely true (2),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Rarely true (2),Often true (4),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Often true (4),Never or very rarely true (1),Very often or always true (5),Rarely true (2),Often true (4),Very often or always true (5),Sometimes true (3),Often true (4),Rarely true (2),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Rarely true (2),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Rarely true (2),Rarely true (2),Very often or always true (5),Rarely true (2),Sometimes true (3),3.5,4.4,3.6,2.8,18,male,adolescence
335,Rarely true (2),Very often or always true (5),Rarely true (2),Sometimes true (3),Rarely true (2),Very often or always true (5),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Rarely true (2),Very often or always true (5),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Never or very rarely true (1),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Very often or always true (5),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),3.0,4.6,3.2,2.3,34,female,early adulthood
336,Never or very rarely true (1),Often true (4),Never or very rarely true (1),Rarely true (2),Never or very rarely true (1),Often true (4),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Never or very rarely true (1),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Never or very rarely true (1),Often true (4),Often true (4),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Rarely true (2),Often true (4),2.4,3.4,1.3,2.2,18,male,adolescence
337,Often true (4),Very often or always true (5),Rarely true (2),Often true (4),Often true (4),Very often or always true (5),Often true (4),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),,Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),4.0,5.0,4.4,3.1,57,female,late middle age
338,Often true (4),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),3.3,3.2,3.0,2.7,74,female,late adulthood
339,Often true (4),Never or very rarely true (1),Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Never or very rarely true (1),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Rarely true (2),Very often or always true (5),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Sometimes true (3),Often true (4),Very often or always true (5),Rarely true (2),Sometimes true (3),Very often or always true (5),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),3.6,4.1,4.0,3.4,59,male,late middle age
340,Often true (4),Very often or always true (5),Never or very rarely true (1),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Often true (4),Often true (4),Rarely true (2),Often true (4),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Sometimes true (3),4.1,4.5,1.3,2.1,33,male,early adulthood
341,Often true (4),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Never or very rarely true (1),,Often true (4),Sometimes true (3),Rarely true (2),Very often or always true (5),Often true (4),Sometimes true (3),Never or very rarely true (1),Very often or always true (5),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Very often or always true (5),Very often or always true (5),Sometimes true (3),Sometimes true (3),Very often or always true (5),Rarely true (2),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Often true (4),Often true (4),3.5,2.8,2.1,2.8,37,male,early middle age
342,Very often or always true (5),Very often or always true (5),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Very often or always true (5),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Often true (4),Often true (4),Never or very rarely true (1),Often true (4),Often true (4),Often true (4),Never or very rarely true (1),Often true (4),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),4.4,3.8,3.0,1.8,27,female,early adulthood
343,Never or very rarely true (1),Rarely true (2),Rarely true (2),Often true (4),Never or very rarely true (1),Often true (4),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Rarely true (2),Rarely true (2),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Rarely true (2),Very often or always true (5),Never or very rarely true (1),Often true (4),Often true (4),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Often true (4),Rarely true (2),Very often or always true (5),Never or very rarely true (1),Often true (4),Rarely true (2),Very often or always true (5),Never or very rarely true (1),Often true (4),Rarely true (2),Very often or always true (5),Never or very rarely true (1),Rarely true (2),Often true (4),1.5,3.8,3.9,2.8,24,male,early adulthood
344,Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Often true (4),Often true (4),Never or very rarely true (1),Rarely true (2),Often true (4),Rarely true (2),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Sometimes true (3),Often true (4),Rarely true (2),Very often or always true (5),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Very often or always true (5),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Often true (4),Often true (4),Very often or always true (5),Rarely true (2),Sometimes true (3),Very often or always true (5),Rarely true (2),Sometimes true (3),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),4.4,2.5,2.4,2.3,15,female,adolescence
345,Very often or always true (5),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Never or very rarely true (1),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),3.7,3.6,2.4,2.9,40,male,early middle age
346,Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),2.5,2.8,2.8,1.8,49,female,late middle age
347,Sometimes true (3),Never or very rarely true (1),Rarely true (2),Rarely true (2),Often true (4),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Rarely true (2),Rarely true (2),Never or very rarely true (1),Often true (4),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Rarely true (2),Never or very rarely true (1),Often true (4),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Often true (4),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Rarely true (2),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Often true (4),3.1,2.0,1.2,2.7,41,female,early middle age
348,Rarely true (2),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Never or very rarely true (1),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Rarely true (2),2.1,3.8,1.2,1.6,27,male,early adulthood
